nomor titik data,x,y,CBA Residual
289,426226.9573,9015583.859,0.191
290,426226.5565,9015804.987,0.2632
291,426226.1557,9016026.115,0.205
292,426225.7551,9016247.242,0.2367
293,426225.3545,9016468.37,0.2121
294,426224.954,9016689.498,0.2629
295,426224.5536,9016910.626,0.1051
296,426224.1533,9017131.753,0.0165
297,426223.7531,9017352.881,0.2006
298,426223.353,9017574.009,0.2041
299,426222.9529,9017795.136,0.3906
300,426449.6568,9014036.362,0.0066
301,426449.2566,9014257.49,0.3038
302,426448.0563,9014920.874,0.3178
303,426447.6564,9015142.002,-0.0358
304,426447.2565,9015363.129,0.1313
305,426446.8568,9015584.257,0.1944
306,426446.4571,9015805.385,0.2606
307,426446.0576,9016026.513,0.2378
308,426445.6581,9016247.64,0.1986
309,426445.2587,9016468.768,0.1352
310,426444.8594,9016689.896,0.2347
311,426444.4602,9016911.023,0.0995
312,426444.0611,9017132.151,0.775
313,426443.6621,9017353.278,0.8046
314,426443.2631,9017574.406,0.2404
315,426442.8643,9017795.533,0.3782
316,426668.7497,9014479.015,0.0295
317,426668.3508,9014700.143,-0.1336
318,426667.952,9014921.271,-0.0234
319,426667.5533,9015142.399,0.0027
320,426667.1547,9015363.526,0.1688
321,426666.7561,9015584.654,0.188
322,426666.3577,9015805.782,0.1941
323,426665.9593,9016026.909,0.1846
324,426665.561,9016248.037,0.2006
325,426665.1628,9016469.164,0.1929
326,426664.7647,9016690.292,0.1835
327,426664.3667,9016911.42,0.1879
328,426663.9688,9017132.547,0.4682
329,426663.571,9017353.675,0.345
330,426663.1732,9017574.802,0.2341
331,426888.643,9014479.412,-0.1062
332,426888.2453,9014700.539,-0.1365
333,426887.8477,9014921.667,-0.0445
334,426887.4502,9015142.795,0.0785
335,426887.0527,9015363.922,0.1879
336,426886.6554,9015585.05,0.2472
337,426886.2581,9015806.177,0.1538
338,426885.861,9016027.305,0.1077
339,426885.4639,9016248.432,0.0959
340,426885.0669,9016469.56,0.2261
341,426884.67,9016690.687,0.1489
342,426884.2732,9016911.815,0.192
343,426883.8764,9017132.942,0.1755
344,426883.4798,9017354.07,0.216
345,426883.0832,9017575.197,0.2339
346,427108.5362,9014479.806,-0.4169
347,427108.1397,9014700.934,-0.0835
348,427107.7433,9014922.062,0.0281
349,427107.347,9015143.189,0.17
350,427106.9507,9015364.317,0.494
351,427106.5546,9015585.444,0.4983
352,427106.1585,9015806.572,0.4008
353,427105.7625,9016027.699,0.3005
354,427105.3666,9016248.827,0.2114
355,427104.9708,9016469.954,0.2234
356,427104.5751,9016691.081,0.1002
357,427104.1795,9016912.209,0.1348
358,427103.784,9017133.336,0.2086
359,427103.3885,9017354.463,0.2212
360,427102.9932,9017575.591,0.2602
361,427329.2202,9014037.945,0.2621
362,427328.8247,9014259.073,0.138
363,427328.4293,9014480.2,-0.173
364,427328.034,9014701.328,0.1379
365,427327.6388,9014922.455,0.2632
366,427327.2437,9015143.583,0.3131
367,427326.8486,9015364.71,0.3383
368,427326.4537,9015585.838,-0.0221
369,427326.0588,9015806.965,-0.0173
370,427325.664,9016028.092,0.1547
371,427325.2693,9016249.22,0.4174
372,427324.8747,9016470.347,0.3697
373,427324.4802,9016691.474,0.2066
374,427324.0858,9016912.601,0.1347
375,427323.6914,9017133.729,0.3154
376,427323.2972,9017354.856,0.3108
377,427322.903,9017575.983,0.4912
378,427549.1109,9014038.338,-0.1877
379,427548.7166,9014259.465,0.0533
380,427548.3224,9014480.593,0.5168
381,427547.9283,9014701.72,0.3063
382,427547.5342,9014922.848,0.3966
383,427547.1403,9015143.975,0.422
384,427546.7464,9015365.102,-0.7948
385,427545.1719,9016249.611,-0.0287
386,427544.7785,9016470.739,0.4429
387,427544.3852,9016691.866,0.2633
388,427543.992,9016912.993,0.2702
389,427543.5988,9017134.12,0.259
390,427543.2057,9017355.247,0.3067
391,427542.8128,9017576.375,0.4126
392,427769.3946,9013817.602,-0.4815
393,427769.0014,9014038.729,0.2155
394,427767.4296,9014923.239,0.3629
395,427767.0368,9015144.366,-1.5025
396,427764.6822,9016471.129,0.1827
397,427764.2901,9016692.256,0.4841
398,427763.898,9016913.384,0.3756
399,427763.5061,9017134.511,0.288
400,427763.1142,9017355.638,0.1706
401,427762.7224,9017576.765,0.3649
402,427989.2839,9013817.992,-0.1497
403,427988.8919,9014039.12,-0.102
404,427988.5,9014260.247,0.1299
405,427988.1082,9014481.374,0.0098
406,427987.7165,9014702.502,0.3234
407,427987.3248,9014923.629,-0.7791
408,427984.5858,9016471.519,0.1089
409,427984.1949,9016692.646,0.3752
410,428209.1731,9013818.382,-0.2227
411,428208.7823,9014039.509,-0.174
412,428208.3916,9014260.636,0.3288
413,428208.001,9014481.763,0.655
